TransactionId,CustomerId,Amount
100000,15634602,-181.72084603418404
100001,15634602,518.2394789141104
100002,15647311,-186.83497598005684
100003,15647311,-42.48545231218921
100004,15619304,-70.76761679490332
100005,15701354,135.3975535727383
100006,15701354,-474.09919548918725
100007,15701354,-174.55600477448658
100008,15701354,-157.42498679036743
100009,15701354,125.1555436285991
100010,15737888,214.1304572497025
100011,15737888,-16.57684929476991
100012,15737888,91.20809137058664
100013,15737888,171.64379396240912
100014,15737888,-89.19112119083866
100015,15737888,32.83906762043481
100016,15737888,-208.70616052251978
100017,15737888,158.2129335024826
100018,15737888,-116.14016098481031
100019,15737888,-90.97656364420756
100020,15737888,293.46291557768046
100021,15737888,-151.48820538740344
100022,15737888,70.36313032785581
100023,15737888,-84.34306476014363
100024,15737888,-123.97811023153756
100025,15737888,-358.65959343259624
100026,15737888,-27.137317906369447
100027,15574012,-270.99053078853956
100028,15574012,96.73932755186868
100029,15574012,-133.73627039343532
100030,15574012,32.185054509529834
100031,15592531,-205.1155475629347
100032,15656148,-144.58871486820394
100033,15656148,2.977207383944378
100034,15656148,132.17948656441868
100035,15656148,206.73770418175698
100036,15792365,64.02419487587325
100037,15792365,0.232903812744378
100038,15792365,-43.506843011143054
100039,15592389,228.4685832261412
100040,15592389,22.822161672345263
100041,15592389,-32.75871264369876
100042,15767821,-193.25441723576088
100043,15767821,234.782959031791
100044,15737173,-596.1607935295235
100045,15737173,210.50973867271955
100046,15737173,138.91961663487123
100047,15632264,121.86605937620037
100048,15691483,-119.1705640567459
100049,15691483,274.4832471611492
100050,15691483,318.0645334866872
100051,15691483,-113.77530261682422
100052,15600882,-220.95640632906816
100053,15643966,-270.7239047470861
100054,15643966,32.377228182234106
100055,15737452,177.39046370121747
100056,15737452,-218.1700560762552
100057,15737452,0.2878548190969114
100058,15737452,-99.44257254822047
100059,15737452,-355.1277725758544
100060,15788218,240.4329950610848
100061,15788218,31.79347242315358
100062,15661507,128.48538128233457
100063,15568982,-107.12717180541192
100064,15568982,179.04454365557459
100065,15568982,-20.93401725098481
100066,15577657,-45.17312206485994
100067,15577657,88.70227059096906
100068,15577657,-122.67347129537211
100069,15577657,-239.02613792561974
100070,15597945,-50.5759381467606
100071,15699309,-9.521964665103603
100072,15699309,9.322439658143587
100073,15699309,-247.43144531785038
100074,15699309,-156.29323076889574
100075,15699309,99.97456510583007
100076,15699309,38.32501800329028
100077,15699309,-5.2532734730711965
100078,15725737,-59.73160949023807
100079,15725737,-67.54011051332091
